numbers: Table 1
time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change,,,,
01/01/2019 00:00:00,Jan-01,36968,14128,22607,38.2,62,,,,,,
01/01/2019 01:00:00,Jan-01,37116,14237,22607,38.4,63,108.6,0.768,,,,
01/01/2019 02:00:00,Jan-01,37198,14013,22607,37.7,62,-224.1,-1.574,,,,
01/01/2019 03:00:00,Jan-01,37204,13550,22607,36.4,60,-462.9,-3.303,,,,
01/01/2019 04:00:00,Jan-01,37392,13327,22607,35.6,59,-223.1,-1.647,,,,
01/01/2019 05:00:00,Jan-01,38261,12911,22607,33.7,57,-415.3,-3.116,,,,
01/01/2019 06:00:00,Jan-01,39244,11851,22607,30.2,52,-1060.2,-8.212,,,,
01/01/2019 07:00:00,Jan-01,40170,10935,22607,27.2,48,-916.0,-7.729,,,,
01/01/2019 08:00:00,Jan-01,40646,9955,22607,24.5,44,-980.0,-8.961,,,,
01/01/2019 09:00:00,Jan-01,41280,8757,22607,21.2,39,-1198.1,-12.035,,,,
01/01/2019 10:00:00,Jan-01,41981,7413,22607,17.7,33,-1344.6,-15.354,,,,
01/01/2019 11:00:00,Jan-01,42176,6471,22607,15.3,29,-941.9,-12.707,,,,
01/01/2019 12:00:00,Jan-01,41930,5766,22607,13.8,26,-704.7,-10.89,,,,
01/01/2019 13:00:00,Jan-01,41504,5273,22607,12.7,23,-492.8,-8.547,,,,
01/01/2019 14:00:00,Jan-01,41168,4841,22607,11.8,21,-432.5,-8.202,,,,
01/01/2019 15:00:00,Jan-01,40861,4199,22607,10.3,19,-641.8,-13.258,,,,
01/01/2019 16:00:00,Jan-01,41188,3658,22607,8.9,16,-541.4,-12.893,,,,
01/01/2019 17:00:00,Jan-01,42555,3360,22607,7.9,15,-297.2,-8.125,,,,
01/01/2019 18:00:00,Jan-01,45258,3056,22607,6.8,14,-304.1,-9.048,,,,
01/01/2019 19:00:00,Jan-01,45353,2919,22607,6.4,13,-137.5,-4.498,,,,
01/01/2019 20:00:00,Jan-01,45069,2735,22607,6.1,12,-183.6,-6.29,,,,
01/01/2019 21:00:00,Jan-01,44463,2694,22607,6.1,12,-41.3,-1.509,,,,
01/01/2019 22:00:00,Jan-01,43280,2479,22607,5.7,11,-215.0,-7.979,,,,
01/01/2019 23:00:00,Jan-01,41295,2490,22607,6.0,11,10.6,0.427,,,,
01/02/2019 00:00:00,Jan-02,39823,2542,22601,6.4,11,52.4,2.104,,,,
01/02/2019 01:00:00,Jan-02,38874,2409,22601,6.2,11,-133.0,-5.232,,,,
01/02/2019 02:00:00,Jan-02,38433,2609,22601,6.8,12,200.3,8.316,,,,
01/02/2019 03:00:00,Jan-02,38555,3056,22601,7.9,14,446.6,17.116,,,,
01/02/2019 04:00:00,Jan-02,39231,3369,22601,8.6,15,312.8,10.236,,,,
01/02/2019 05:00:00,Jan-02,40838,3662,22601,9.0,16,292.9,8.696,,,,
01/02/2019 06:00:00,Jan-02,43653,2932,22601,6.7,13,-729.9,-19.934,,,,
01/02/2019 07:00:00,Jan-02,46454,2650,22601,5.7,12,-281.3,-9.596,,,,
01/02/2019 08:00:00,Jan-02,48176,2062,22601,4.3,9,-588.6,-22.207,,,,
01/02/2019 09:00:00,Jan-02,49033,2046,22601,4.2,9,-16.3,-0.789,,,,
01/02/2019 10:00:00,Jan-02,50145,1923,22601,3.8,9,-122.6,-5.996,,,,
01/02/2019 11:00:00,Jan-02,50965,1281,22601,2.5,6,-641.7,-33.37,,,,
01/02/2019 12:00:00,Jan-02,51389,1267,22601,2.5,6,-14.4,-1.12,,,,
01/02/2019 13:00:00,Jan-02,51421,1310,22601,2.5,6,43.3,3.417,,,,
01/02/2019 14:00:00,Jan-02,51321,1378,22601,2.7,6,68.1,5.2,,,,
01/02/2019 15:00:00,Jan-02,51118,2117,22601,4.1,9,739.0,53.619,,,,
01/02/2019 16:00:00,Jan-02,51043,1768,22601,3.5,8,-349.4,-16.504,,,,
01/02/2019 17:00:00,Jan-02,51640,1707,22601,3.3,8,-60.6,-3.426,,,,
01/02/2019 18:00:00,Jan-02,53743,1304,22601,2.4,6,-403.4,-23.626,,,,
01/02/2019 19:00:00,Jan-02,53017,883,22601,1.7,4,-420.6,-32.254,,,,
01/02/2019 20:00:00,Jan-02,51772,598,22601,1.2,3,-285.2,-32.287,,,,
01/02/2019 21:00:00,Jan-02,50235,794,22601,1.6,4,196.2,32.809,,,,
01/02/2019 22:00:00,Jan-02,48099,1035,22601,2.2,5,240.6,30.287,,,,
01/02/2019 23:00:00,Jan-02,45262,639,22601,1.4,3,-396.1,-38.273,,,,
01/03/2019 00:00:00,Jan-03,43392,977,22607,2.3,4,338.3,52.951,,,,
01/03/2019 01:00:00,Jan-03,41783,1453,22607,3.5,6,476.0,48.711,,,,
01/03/2019 02:00:00,Jan-03,41132,2091,22607,5.1,9,637.7,43.884,,,,
01/03/2019 03:00:00,Jan-03,40926,2973,22607,7.3,13,881.9,42.18,,,,
01/03/2019 04:00:00,Jan-03,41344,3506,22607,8.5,16,533.4,17.944,,,,
01/03/2019 05:00:00,Jan-03,42696,3308,22607,7.7,15,-198.0,-5.648,,,,
01/03/2019 06:00:00,Jan-03,45020,3771,22607,8.4,17,463.1,14,,,,
01/03/2019 07:00:00,Jan-03,47523,3738,22607,7.9,17,-33.4,-0.887,,,,
01/03/2019 08:00:00,Jan-03,48503,3821,22607,7.9,17,83.0,2.222,,,,
01/03/2019 09:00:00,Jan-03,48764,3824,22607,7.8,17,3.5,0.093,,,,
01/03/2019 10:00:00,Jan-03,49037,4197,22607,8.6,19,372.7,9.745,,,,
01/03/2019 11:00:00,Jan-03,48807,4976,22607,10.2,22,778.7,18.554,,,,
01/03/2019 12:00:00,Jan-03,48047,5890,22607,12.3,26,913.9,18.367,,,,
01/03/2019 13:00:00,Jan-03,46789,6567,22607,14.0,29,677.6,11.504,,,,
01/03/2019 14:00:00,Jan-03,45729,7609,22607,16.6,34,1041.7,15.862,,,,
01/03/2019 15:00:00,Jan-03,44751,8160,22607,18.2,36,551.2,7.245,,,,
01/03/2019 16:00:00,Jan-03,44485,6706,22607,15.1,30,-1454.1,-17.82,,,,
01/03/2019 17:00:00,Jan-03,45174,5314,22607,11.8,24,-1392.4,-20.763,,,,
01/03/2019 18:00:00,Jan-03,47964,4279,22607,8.9,19,-1035.0,-19.478,,,,
01/03/2019 19:00:00,Jan-03,48728,4210,22607,8.6,19,-68.7,-1.606,,,,
01/03/2019 20:00:00,Jan-03,48904,5934,22607,12.1,26,1723.9,40.947,,,,
01/03/2019 21:00:00,Jan-03,48464,6059,22607,12.5,27,125.3,2.112,,,,
01/03/2019 22:00:00,Jan-03,47107,5410,22607,11.5,24,-648.7,-10.706,,,,
01/03/2019 23:00:00,Jan-03,45016,5530,22607,12.3,24,119.2,2.204,,,,
