DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/17/2021,01:00,50143.5,2099,0,N
02/17/2021,02:00,49686.6,2100,0,N
02/17/2021,03:00,49749.5,2090,0,N
02/17/2021,04:00,48449.4,2089.3,0,N
02/17/2021,05:00,49170.9,2090.8,0,N
02/17/2021,06:00,48529.3,2091.3,0,N
02/17/2021,07:00,46610.9,2078.8,0,N
02/17/2021,08:00,46213.5,2082.8,312,N
02/17/2021,09:00,46980.8,2081.2,630,N
02/17/2021,10:00,50388.3,2085.7,926,N
02/17/2021,11:00,51888.7,2089.4,1098,N
02/17/2021,12:00,52667.9,2089.7,1101,N
02/17/2021,13:00,53752.9,2089.9,1104,N
02/17/2021,14:00,53957.8,2088.4,1099,N
02/17/2021,15:00,54455.9,2085.4,1063,N
02/17/2021,16:00,54461.5,2084,1062,N
02/17/2021,17:00,54674.6,2079.5,1062,N
02/17/2021,18:00,53850.4,2079,1062,N
02/17/2021,19:00,53603.2,2086.5,1062,N
02/17/2021,20:00,54166,2104.2,1205,N
02/17/2021,21:00,54626.1,2096.5,1201,N
02/17/2021,22:00,54680.9,2096.5,1198,N
02/17/2021,23:00,54618.8,2114.4,1172,N
02/17/2021,24:00,54236.2,2115,2406,N
02/18/2021,01:00,42414.3,1911.7,25381.3,N
02/18/2021,02:00,42640,1911.7,25386.1,N
02/18/2021,03:00,43204.2,1886.7,25397.8,N
02/18/2021,04:00,43509.6,1854.7,25406.3,N
02/18/2021,05:00,43626.7,1854.7,25416.1,N
02/18/2021,06:00,44008.9,1854.7,25423.9,N
02/18/2021,07:00,44294.8,1867.7,25432.8,N
02/18/2021,08:00,44584.7,1867.7,25460.3,N
02/18/2021,09:00,45338,1867.7,25451.4,N
02/18/2021,10:00,46697.5,1867.7,25463.8,N
02/18/2021,11:00,47109.5,1867.7,25413.2,N
02/18/2021,12:00,47243.4,1867.7,25381,N
02/18/2021,13:00,47527.4,1867.7,25640.9,N
02/18/2021,14:00,47290.4,1867.7,25618.4,N
02/18/2021,15:00,47153.6,1867.7,25600.9,N
02/18/2021,16:00,47391.1,1867.7,25590.4,N
02/18/2021,17:00,46810.6,1867.7,25591.1,N
02/18/2021,18:00,44708.5,1867.7,25609.3,N
02/18/2021,19:00,43036.5,1867.7,25633,N
02/18/2021,20:00,42752.4,1867.7,25666.2,N
02/18/2021,21:00,43146.2,1867.7,25411.4,N
02/18/2021,22:00,42978.8,1867.7,25460.9,N
02/18/2021,23:00,42827.9,1854.7,25478.5,N
02/18/2021,24:00,42749.8,1854.7,25492.7,N
02/19/2021,01:00,37792.3,1929.5,31597.2,N
02/19/2021,02:00,37928.9,1929.5,31606.7,N
02/19/2021,03:00,38942.1,1904.5,30927.8,N
02/19/2021,04:00,39261.9,1872.5,30935.3,N
